· (U+00B7)
• (U+2022)
∘ (U+2218)
█ (U+2588)
▌ (U+258C)
░ (U+2591)
■ (U+25A0)
□ (U+25A1)
▪ (U+25AA)
▫ (U+25AB)
▲ (U+25B2)
△ (U+25B3)
▶ (U+25B6)
▷ (U+25B7)
▼ (U+25BC)
▽ (U+25BD)
◀ (U+25C0)
◁ (U+25C1)
◆ (U+25C6)
◇ (U+25C7)
◉ (U+25C9)
○ (U+25CB)
◌ (U+25CC)
◎ (U+25CE)
● (U+25CF)
◘ (U+25D8)
◦ (U+25E6)
◯ (U+25EF)
◻ (U+25FB)
◼ (U+25FC)
★ (U+2605)
☆ (U+2606)
☉ (U+2609)
⚈ (U+2688)
⚉ (U+2689)
⚪ (U+26AA)
⚫ (U+26AB)
✖ (U+2716)
✦ (U+2726)
✧ (U+2727)
✿ (U+273F)
❀ (U+2740)
⬛ (U+2B1B)
⬜ (U+2B1C)
⬟ (U+2B1F)
⬠ (U+2B20)
⬡ (U+2B21)
⬢ (U+2B22)
⬤ (U+2B24)
⬥ (U+2B25)
⬦ (U+2B26)
🟈 (U+1F7C8)
🟉 (U+1F7C9)
